Ms	Soo Jung Ann	South Korea
Ms	Miyako Arishima	Japan
Mr	Lukasz Piotr Byrdy	Poland
Ms	Michelle Candotti	Italy
Mr	Luigi Carroccia 	Italy
Ms	Galina Chistiakova 	Russia
Mr	Seong-Jin Cho 	South Korea
Ms	Ivett Gy?ngy?si 	Hungary
Mr	Chi Ho Han 	South Korea
Mr	Olof Hansen 	France
Mr	Zhi Chao Julian Jia 	China
Mr	Aljoša Jurinic 	Croatia
Ms	Su Yeon Kim 	South Korea
Ms	Dinara Klinton 	Ukraine
Ms	Aimi Kobayashi 	Japan
Mr	Qi Kong 	China
Mr	Marek Kozák 	Czech Republic
Mr	Lukasz Krupinski 	Poland
Mr	Krzysztof Ksiazek 	Poland
Ms	Rachel Naomi Kudo 	United States
Ms	Kate Liu 	United States
Mr	Eric Lu 	United States
Mr	Lukasz Mikolajczyk 	Poland
Ms	Alexia Mouza 	Greece
Ms	Mayaka Nakagawa 	Japan
Mr	Szymon Nehring 	Poland
Mr	Piotr Nowak 	Poland
Ms	Arisa Onoda 	Japan
Mr	Georgijs Osokins 	Latvia
Mr	Jinhyung Park 	South Korea
Mr	Charles Richard-Hamelin 	Canada
Mr	Dmitry Shishkin 	Russia
Ms	Rina Sudo 	Japan
Mr	Michal Szymanowski 	Poland
Mr	Arseny Tarasevich-Nikolaev 	Russia
Mr	Alexei Tartakovsky 	United States
Mr	Alexander Ullman 	United Kingdom
Mr	Chao Wang 	China
Mr	Andrzej Wiercinski 	Poland
Mr	Zi Xu 	China
Mr	Yike (Tony) Yang 	Canada
Mr	Cheng Zhang 	China
Ms	Annie Zhou 	Canada
